acc	species	genus	contig_count	n50_contigs	genome_size	checkm_completeness	checkm_contamination	ncbi_assembly_level	ncbi_genbank_assembly_accession	ncbi_strain_identifiers
GCF_003044325.1	Streptococcus pneumoniae	Streptococcus	1	2122740	2122840	99.82	0.2	Chromosome	GCA_003044325.1	CP2215
GCF_009664475.1	Streptococcus pneumoniae	Streptococcus	1	2090792	2090792	99.82	0.2	Complete Genome	GCA_009664475.1	AUSMDU00010538
GCF_900618585.1	Streptococcus pneumoniae	Streptococcus	1	2037269	2037269	99.82	0.2	Complete Genome	GCA_900618585.1	180-15
GCF_000018985.1	Streptococcus pneumoniae	Streptococcus	1	2120234	2120234	99.82	0.2	Complete Genome	GCA_000018985.1	JJA
GCF_000210995.1	Streptococcus pneumoniae	Streptococcus	1	2024476	2024476	99.82	0.2	Complete Genome	GCA_000210995.1	SNP034156
GCF_003966485.1	Streptococcus pneumoniae	Streptococcus	1	2096423	2096423	99.82	0.2	Complete Genome	GCA_003966485.1	ATCC 49619
GCF_003351645.1	Streptococcus pneumoniae	Streptococcus	1	2096231	2096231	99.82	0.2	Complete Genome	GCA_003351645.1	M16808
GCF_900693055.1	Streptococcus pneumoniae	Streptococcus	1	2120740	2120740	99.81	0.63	Complete Genome	GCA_900693055.1	55896440-41bd-11e5-998e-3c4a9275d6c6;GPSC18
GCF_001255215.1	Streptococcus pneumoniae	Streptococcus	1	1983415	1983415	99.81	0.21	Complete Genome	GCA_001255215.1	A66
GCF_000210935.1	Streptococcus pneumoniae	Streptococcus	1	2093317	2093317	99.81	0.63	Complete Genome	GCA_000210935.1	INV200
GCF_900618555.1	Streptococcus pneumoniae	Streptococcus	1	2109624	2109624	99.81	0.21	Complete Genome	GCA_900618555.1	947
GCF_001896045.1	Streptococcus pneumoniae	Streptococcus	1	2206644	2206644	99.76	0.25	Complete Genome	GCA_001896045.1	SP49
GCF_003994915.1	Streptococcus pneumoniae	Streptococcus	1	2038121	2038121	99.74	0.26	Complete Genome	GCA_003994915.1	HKU1-14
GCF_000180515.1	Streptococcus pneumoniae	Streptococcus	1	2129934	2129934	99.62	0.21	Complete Genome	GCA_000180515.2	SPNA45;A45
GCF_900693025.1	Streptococcus pneumoniae	Streptococcus	1	2202359	2202359	99.6	0.32	Complete Genome	GCA_900693025.1	2245STDY6178787;GPSC47
GCF_000019265.1	Streptococcus pneumoniae	Streptococcus	1	2245615	2245615	99.6	0.21	Complete Genome	GCA_000019265.1	Hungary19A-6
GCF_002813535.1	Streptococcus pneumoniae	Streptococcus	1	2125517	2125517	99.6	0.49	Complete Genome	GCA_002813535.1	BHN97x
GCF_003003495.1	Streptococcus pneumoniae	Streptococcus	1	2046572	2046572	99.6	0.21	Complete Genome	GCA_003003495.1	D39V
GCF_900476475.1	Streptococcus pneumoniae	Streptococcus	1	2157682	2157682	99.6	0.21	Complete Genome	GCA_900476475.1	4041STDY6583227
GCF_008253725.1	Streptococcus pneumoniae	Streptococcus	1	2038617	2038617	99.6	0.21	Complete Genome	GCA_008253725.1	R6CIB17
GCF_018336875.1	Streptococcus pneumoniae	Streptococcus	1	2046551	2046551	99.6	0.21	Complete Genome	GCA_018336875.1	D39_P0
GCF_000014365.2	Streptococcus pneumoniae	Streptococcus	1	2046116	2046116	99.6	0.21	Complete Genome	GCA_000014365.2	D39
GCF_003351525.1	Streptococcus pneumoniae	Streptococcus	1	2114141	2114141	99.6	0.21	Complete Genome	GCA_003351525.1	M23734
GCF_003351725.1	Streptococcus pneumoniae	Streptococcus	1	2109726	2109726	99.6	0.21	Complete Genome	GCA_003351725.1	M26368
GCF_003967155.2	Streptococcus pneumoniae	Streptococcus	1	2156271	2156271	99.6	0.21	Complete Genome	GCA_003967155.2	ASP0581
GCF_000019005.1	Streptococcus pneumoniae	Streptococcus	1	2111882	2111882	99.6	0.21	Complete Genome	GCA_000019005.1	P1031
GCF_000210975.1	Streptococcus pneumoniae	Streptococcus	1	2142122	2142122	99.6	0.21	Complete Genome	GCA_000210975.1	INV104
GCF_000211075.1	Streptococcus pneumoniae	Streptococcus	1	2131190	2131190	99.6	0.21	Complete Genome	GCA_000211075.1	SPN032672
GCF_900475515.1	Streptococcus pneumoniae	Streptococcus	1	2039982	2039982	99.6	0.21	Complete Genome	GCA_900475515.1	NCTC13276
GCF_003351705.1	Streptococcus pneumoniae	Streptococcus	1	2169584	2169584	99.6	0.37	Complete Genome	GCA_003351705.1	M26365
GCF_000019985.1	Streptococcus pneumoniae	Streptococcus	1	2209198	2209198	99.6	0.21	Complete Genome	GCA_000019985.1	CGSP14
GCF_900475305.1	Streptococcus pneumoniae	Streptococcus	1	2046573	2046573	99.6	0.21	Complete Genome	GCA_900475305.1	NCTC7466
GCF_000299015.1	Streptococcus pneumoniae	Streptococcus	1	2064154	2064154	99.56	0.21	Complete Genome	GCA_000299015.1	gamPNI0373
GCF_000007045.1	Streptococcus pneumoniae	Streptococcus	1	2038615	2038615	99.56	0.21	Complete Genome	GCA_000007045.1	R6
GCF_004291255.1	Streptococcus pneumoniae	Streptococcus	1	2101621	2101621	99.56	0.21	Complete Genome	GCA_004291255.1	EF3030
GCF_017569245.1	Streptococcus pneumoniae	Streptococcus	1	2134668	2134668	99.54	0.21	Complete Genome	GCA_017569245.1	BVJ1JL
GCF_000146975.1	Streptococcus pneumoniae	Streptococcus	1	2130580	2130580	99.54	0.26	Complete Genome	GCA_000146975.1	AP200
GCF_900618545.1	Streptococcus pneumoniae	Streptococcus	1	2169270	2169270	99.52	0.21	Complete Genome	GCA_900618545.1	4496
GCA_004331935.1	Streptococcus pneumoniae	Streptococcus	1	2041494	2041494	99.49	0.21	Complete Genome	GCA_004331935.1	521
GCF_900476465.1	Streptococcus pneumoniae	Streptococcus	1	2104636	2104636	99.47	0.2	Complete Genome	GCA_900476465.1	4041STDY6836170
GCF_000006885.1	Streptococcus pneumoniae	Streptococcus	1	2160842	2160842	99.42	0.2	Complete Genome	GCA_000006885.1	TIGR4;ATCC BAA-334
GCF_900692935.1	Streptococcus pneumoniae	Streptococcus	1	2074861	2074861	99.42	0.2	Complete Genome	GCA_900692935.1	GPSC10;GPS_US_PATH396-sc-2296505
GCF_000026665.1	Streptococcus pneumoniae	Streptococcus	1	2221315	2221315	99.42	0.25	Complete Genome	GCA_000026665.1	ATCC 700669
GCF_002843545.1	Streptococcus pneumoniae	Streptococcus	1	2168552	2168552	99.42	0.2	Complete Genome	GCA_002843545.1	Xen35
GCF_000251085.2	Streptococcus pneumoniae	Streptococcus	1	2150813	2150813	99.42	0.2	Complete Genome	GCA_000251085.2	ST556
GCF_900476505.1	Streptococcus pneumoniae	Streptococcus	1	2200529	2200529	99.42	0.7	Complete Genome	GCA_900476505.1	4041STDY6836166
GCF_000269665.1	Streptococcus pneumoniae	Streptococcus	1	2162245	2162245	99.42	0.2	Contig	GCA_000269665.1	TIGR4;Tigr4
GCF_000019025.1	Streptococcus pneumoniae	Streptococcus	1	2112148	2112148	99.42	0.2	Complete Genome	GCA_000019025.1	Taiwan19F-14
GCF_015839035.1	Streptococcus pneumoniae	Streptococcus	1	2180123	2180123	99.42	0.6	Complete Genome	GCA_015839035.1	475
GCF_015840115.1	Streptococcus pneumoniae	Streptococcus	1	2140016	2140016	99.42	0.6	Complete Genome	GCA_015840115.1	563
GCF_003609935.1	Streptococcus pneumoniae	Streptococcus	1	2045062	2045062	99.42	0.2	Complete Genome	GCA_003609935.1	MDRSPN001
GCF_001896085.1	Streptococcus pneumoniae	Streptococcus	1	2073113	2073113	99.42	0.2	Complete Genome	GCA_001896085.1	SP64
GCF_015839235.1	Streptococcus pneumoniae	Streptococcus	1	2141347	2141347	99.42	0.6	Complete Genome	GCA_015839235.1	521
GCF_900795205.1	Streptococcus pneumoniae	Streptococcus	1	2074160	2074160	99.42	0.2	Complete Genome	GCA_900795205.1	b04a6400-1f66-11e7-b93e-3c4a9275d6c8;GPSC55
GCF_015839775.1	Streptococcus pneumoniae	Streptococcus	1	2114775	2114775	99.42	0.6	Complete Genome	GCA_015839775.1	573
GCF_000019825.1	Streptococcus pneumoniae	Streptococcus	1	2078953	2078953	99.42	0.2	Complete Genome	GCA_000019825.1	G54
GCF_003966525.1	Streptococcus pneumoniae	Streptococcus	1	2180605	2180605	99.42	0.2	Complete Genome	GCA_003966525.1	NU83127
GCF_002357995.1	Streptococcus pneumoniae	Streptococcus	1	2148476	2148476	99.42	0.2	Complete Genome	GCA_002357995.1	KK0981
GCF_015839575.1	Streptococcus pneumoniae	Streptococcus	1	2124184	2124184	99.42	0.6	Complete Genome	GCA_015839575.1	566
GCF_015839915.1	Streptococcus pneumoniae	Streptococcus	1	2089999	2089999	99.42	0.6	Complete Genome	GCA_015839915.1	574
GCF_000273445.1	Streptococcus pneumoniae	Streptococcus	1	2163340	2163340	99.42	0.2	Chromosome	GCA_000273445.1	TIGR4
GCF_002947575.1	Streptococcus pneumoniae	Streptococcus	1	2221315	2221315	99.42	0.25	Complete Genome	GCA_002947575.1	endophthalmitis;335
GCF_015838875.1	Streptococcus pneumoniae	Streptococcus	1	2121469	2121469	99.42	0.6	Complete Genome	GCA_015838875.1	310
GCF_000196595.1	Streptococcus pneumoniae	Streptococcus	1	2088772	2088772	99.42	0.2	Complete Genome	GCA_000196595.1	TCH8431;19A;TCH8431/19A
GCF_900476445.1	Streptococcus pneumoniae	Streptococcus	1	2131442	2131442	99.39	0.21	Complete Genome	GCA_900476445.1	4041STDY6836167
GCF_000018965.1	Streptococcus pneumoniae	Streptococcus	1	2184682	2184682	99.39	0.32	Complete Genome	GCA_000018965.1	70585
GCF_900693075.1	Streptococcus pneumoniae	Streptococcus	1	2066251	2066251	99.39	0.21	Complete Genome	GCA_900693075.1	569492b0-41bd-11e5-998e-3c4a9275d6c6;GPSC13
GCF_013047165.1	Streptococcus pneumoniae	Streptococcus	1	2219840	2219840	99.38	0.69	Complete Genome	GCA_013047165.1	6A-10
GCF_000817005.1	Streptococcus pneumoniae	Streptococcus	1	2287774	2287774	99.37	0.29	Complete Genome	GCA_000817005.1	NT_110_58
GCF_015839415.1	Streptococcus pneumoniae	Streptococcus	1	2141694	2141694	99.37	0.6	Complete Genome	GCA_015839415.1	525
GCF_003354825.1	Streptococcus pneumoniae	Streptococcus	1	2057144	2057144	99.29	0.26	Complete Genome	GCA_003354825.1	SPN XDR SMC1710-32
GCA_000211095.1	Streptococcus pneumoniae	Streptococcus	1	2133496	2133496	99.21	0.21	Complete Genome	GCA_000211095.1	SPN033038
GCF_000147095.1	Streptococcus pneumoniae	Streptococcus	1	2240045	2240045	99.18	0.29	Complete Genome	GCA_000147095.1	670-6B
GCF_002813955.1	Streptococcus pneumoniae	Streptococcus	1	2079194	2079194	99.18	0.21	Complete Genome	GCA_002813955.1	11A
GCF_900475805.1	Streptococcus pneumoniae	Streptococcus	1	2093242	2093242	99.18	0.21	Complete Genome	GCA_900475805.1	NCTC11902
GCF_001457635.1	Streptococcus pneumoniae	Streptococcus	1	2110968	2110968	99.18	0.63	Complete Genome	GCA_001457635.1	NCTC7465
GCF_001896065.1	Streptococcus pneumoniae	Streptococcus	1	2071812	2071812	99.02	0.2	Complete Genome	GCA_001896065.1	SP61
GCF_001902455.1	Streptococcus pneumoniae	Streptococcus	1	2092148	2092148	99.02	0.2	Complete Genome	GCA_001902455.1	SWU02
GCF_900622505.2	Streptococcus pneumoniae	Streptococcus	2	2150981	2156228	99.81	0.21	Complete Genome	GCA_900622505.2	4559
GCF_900693045.1	Streptococcus pneumoniae	Streptococcus	2	2021608	2026174	99.81	0.26	Chromosome	GCA_900693045.1	GPSC43;GPS_HK_150-sc-2296816
GCA_901482425.1	Streptococcus pneumoniae	Streptococcus	2	1845765	2013929	99.71	0.21	Contig	GCA_901482425.1	NCTC10659
GCF_900459635.1	Streptococcus pneumoniae	Streptococcus	2	2111094	2127330	99.6	1.47	Contig	GCA_900459635.1	NCTC13755
GCF_900459895.1	Streptococcus pneumoniae	Streptococcus	2	2014498	2032795	99.6	1.26	Contig	GCA_900459895.1	NCTC11898
GCF_000348705.1	Streptococcus pneumoniae	Streptococcus	2	2073283	2076531	99.6	0.21	Chromosome	GCA_000348705.1	PCS8235
GCF_011694695.1	Streptococcus pneumoniae	Streptococcus	2	2143685	2145834	99.6	0.21	Complete Genome	GCA_011694695.1	PZ900701590
GCF_900459595.1	Streptococcus pneumoniae	Streptococcus	2	2165891	2169054	99.42	0.2	Contig	GCA_900459595.1	NCTC11901
GCF_900459735.1	Streptococcus pneumoniae	Streptococcus	2	2050559	2054745	99.42	0.2	Contig	GCA_900459735.1	NCTC11893
GCF_900618125.1	Streptococcus pneumoniae	Streptococcus	2	1928015	2022705	99.42	0.2	Contig	GCA_900618125.1	NCTC11032
GCF_900693005.1	Streptococcus pneumoniae	Streptococcus	3	1493002	2121917	99.82	0.25	Chromosome	GCA_900693005.1	GPSC4;GPS_HK_21-sc-2296565
GCF_900459835.1	Streptococcus pneumoniae	Streptococcus	3	2070878	2086806	99.82	1.39	Contig	GCA_900459835.1	NCTC11900
GCF_900461665.1	Streptococcus pneumoniae	Streptococcus	3	2232637	2249195	99.6	0.29	Contig	GCA_900461665.1	NCTC13735
GCF_900459505.1	Streptococcus pneumoniae	Streptococcus	3	2171914	2195746	99.5	0.63	Contig	GCA_900459505.1	NCTC11905
GCF_900459845.1	Streptococcus pneumoniae	Streptococcus	3	2087391	2117552	99.42	1.39	Contig	GCA_900459845.1	NCTC11899
